identifier,molecular_weight,alogp,qed_drug_likeliness,contains_sugar,np_likeness,np_classifier_pathway,np_classifier_superclass,fp_row_index,UMAP1,UMAP2
CNP0294650.1,240.25,0.09,0.67,False,2.48,Shikimates and Phenylpropanoids,Coumarins,603544,7.7592015,4.9994326
CNP0547992.1,383.4,3.09,0.79,False,1.5,Alkaloids,Tyrosine alkaloids,603558,7.353175,11.269012
CNP0181124.1,462.63,2.77,0.41,False,3.63,Terpenoids,Steroids,603560,7.2253156,1.0045812
CNP0065457.0,321.38,4.98,0.67,False,-0.49,Shikimates and Phenylpropanoids,,603570,9.658099,8.444081
CNP0280741.0,271.27,2.51,0.91,False,1.21,Alkaloids,Tryptophan alkaloids,603615,8.437404,9.71353
CNP0513784.0,366.39,3.1,0.67,False,1.5,Alkaloids,Tyrosine alkaloids,603621,7.319316,10.867485
CNP0236349.1,1239.36,-4.99,0.05,True,2.17,Terpenoids,Triterpenoids,603643,9.340231,17.259594
CNP0573181.1,424.53,-1.35,0.56,False,-1.67,Alkaloids,Ornithine alkaloids,603652,10.320404,5.247366
CNP0480239.0,298.51,6.58,0.33,False,0.68,Fatty acids,Fatty Acids and Conjugates,603659,10.748104,2.6785762
CNP0480784.2,298.34,1.18,0.42,False,0.44,Alkaloids,,603674,8.410325,4.8378863
CNP0190803.2,636.56,2.3,0.12,True,1.77,Shikimates and Phenylpropanoids,Flavonoids,603687,2.946228,15.045885
CNP0130168.1,948.83,-2.97,0.04,True,1.48,Shikimates and Phenylpropanoids,Flavonoids,603706,3.0128589,14.9363365
CNP0114304.1,462.41,0.06,0.3,True,2.01,Shikimates and Phenylpropanoids,Isoflavonoids,603729,4.2784734,15.539129
CNP0316727.2,1221.39,-2.55,0.06,True,1.99,Terpenoids,Triterpenoids,603731,2.0939157,1.5270829
CNP0333250.1,244.34,1.82,0.7,False,0.65,Alkaloids,Lysine alkaloids,603748,8.374454,4.342782
CNP0487963.0,768.07,11.76,0.03,False,0.78,Fatty acids,Glycerophospholipids,603751,22.043446,15.859986
CNP0555524.1,863.45,17.56,0.03,False,0.36,Fatty acids,Glycerolipids,603762,-5.130749,-9.033265
CNP0483662.1,365.47,0.96,0.71,False,-0.5,Alkaloids,,603775,10.836823,5.0838304
CNP0580264.2,299.28,1.85,0.77,False,0.03,Polyketides,Chromanes,603852,10.141691,11.195218
CNP0552242.1,1015.64,20.88,0.03,False,0.43,Fatty acids,Glycerolipids,603853,18.620613,25.213226
CNP0522748.1,363.51,4.04,0.87,False,-0.26,Alkaloids,,603886,10.355281,6.571091
CNP0472117.0,446.51,8.85,0.27,False,-0.23,Shikimates and Phenylpropanoids,Phenanthrenoids,603890,9.342062,6.933179
CNP0489491.0,420.42,3.91,0.53,False,-1.02,Alkaloids,Anthranilic acid alkaloids,603905,9.042933,9.309554
CNP0535004.1,935.51,18.99,0.03,False,0.52,Fatty acids,Glycerolipids,603917,24.842615,19.047935
CNP0541170.1,987.72,22.14,0.03,False,0.32,Fatty acids,Glycerolipids,603919,-12.091778,0.9649175
CNP0503517.1,1175.52,0.68,0.04,False,-0.17,Amino acids and Peptides,Oligopeptides,603982,10.433925,4.155106
CNP0502423.1,1466.09,24.57,0.02,False,0.28,Fatty acids,Glycerophospholipids,603985,-9.312451,4.409592
CNP0540552.1,264.32,1.42,0.53,False,2.53,Terpenoids,Sesquiterpenoids,604025,6.0450234,4.42116
CNP0132641.1,304.43,4.94,0.79,False,2.11,Terpenoids,Sesquiterpenoids,604096,5.8269725,4.072347
CNP0572684.0,1128.24,-0.08,0.03,False,0.56,Amino acids and Peptides,Oligopeptides,604100,9.846863,4.5091476
CNP0506667.0,369.43,1.29,0.81,False,-1.5,Alkaloids,Nicotinic acid alkaloids,604122,10.396851,5.88739
CNP0485109.2,681.1,12.77,0.04,False,0.36,Fatty acids,Glycerolipids,604126,5.006397,-15.67935
CNP0547492.0,200.28,2.48,0.33,False,1.26,Fatty acids,Fatty esters,604131,9.724157,2.7271686
